n_el  name       dist[m]     Energy[MeV/u] (W-Wtmp)/Wtmp,%   x_rms[cm]      y_rms[cm]      Xmax[cm]       Ymax[cm]     phi_rms[deg]   phi_max[deg]   DW/W[rel.u.]   4*exn_rms[cm*mrad]   exn99.0[cm*mrad]    exn_max[cm*mrad]   4*eyn_rms[cm*mrad]   eyn99.0[cm*mrad]    eyn_max[cm*mrad]   4*ezn_rms[keV/u*ns]  ezn99.0[keV/u*ns]    ezn_max[keV/u*ns]     Xc[cm]       X'c[mrad]        Yc[cm]       Y'c[mrad]        btgm          Zc[deg]          a_x        b_x[cm/mrad]       a_y        b_y[cm/mrad]       a_z        b_z[deg/(%ofD_W/W)]  #of_part_lost  #of_part_left 
   0  entry  0.000000E+00   0.100000E+02  -0.131242E-04   0.460736E-01   0.475309E-01   0.119383E+00   0.122067E+00   0.235069E+00   0.624480E+00   0.498828E-02      0.255071E+00        0.400308E+00        0.469845E+00        0.258088E+00        0.406658E+00        0.470125E+00        0.107443E+02        0.176241E+02        0.217850E+02     0.727205E-06  -0.679908E-04   0.173379E-06   0.820619E-03   0.146922E+00  -0.517929E-05   0.132168E-01   0.489092E-02   0.233854E-01   0.514436E-02   0.144244E-01      0.471291E+00     0.000000E+00    0.100100E+04
   1  prmtr  0.000000E+00   0.100000E+02  -0.131242E-04   0.460736E-01   0.475309E-01   0.119383E+00   0.122067E+00   0.211562E+01   0.562032E+01   0.498828E-02      0.255071E+00        0.400308E+00        0.469845E+00        0.258088E+00        0.406658E+00        0.470125E+00        0.107443E+02        0.176241E+02        0.217850E+02     0.727205E-06  -0.679908E-04   0.173379E-06   0.820619E-03   0.146922E+00  -0.466136E-04   0.132168E-01   0.489092E-02   0.233854E-01   0.514436E-02   0.144244E-01      0.424162E+01     0.000000E+00    0.100100E+04
   2  updt2  0.000000E+00   0.100000E+02  -0.131242E-04   0.460736E-01   0.475309E-01   0.119383E+00   0.122067E+00   0.211562E+01   0.562032E+01   0.498828E-02      0.255071E+00        0.400308E+00        0.469845E+00        0.258088E+00        0.406658E+00        0.470125E+00        0.107443E+02        0.176241E+02        0.217850E+02     0.727205E-06  -0.679908E-04   0.173379E-06   0.820619E-03   0.146922E+00  -0.466136E-04   0.132168E-01   0.489092E-02   0.233854E-01   0.514436E-02   0.144244E-01      0.424162E+01     0.000000E+00    0.100100E+04
   3  drift  0.925000E+00   0.100000E+02  -0.131242E-04   0.872056E+00   0.855090E+00   0.234617E+01   0.229302E+01   0.296609E+01   0.789827E+01   0.498828E-02      0.255071E+00        0.400308E+00        0.469845E+00        0.258088E+00        0.406658E+00        0.470125E+00        0.107556E+02        0.176695E+02        0.218411E+02    -0.556195E-05  -0.679908E-04   0.760806E-04   0.820619E-03   0.146922E+00   0.803159E-01  -0.189027E+02   0.175217E+01  -0.179673E+02   0.166496E+01   0.980749E+00      0.832853E+01     0.000000E+00    0.100100E+04
   4  quad   0.137500E+01   0.100000E+02  -0.131242E-04   0.189745E+01   0.771962E+00   0.510354E+01   0.206288E+01   0.373934E+01   0.102404E+02   0.498828E-02      0.266276E+00        0.473283E+00        0.645680E+00        0.261136E+00        0.397498E+00        0.485939E+00        0.107985E+02        0.178944E+02        0.222291E+02     0.406652E-04   0.200541E-02   0.548484E-04  -0.197869E-02   0.146922E+00   0.218492E+00  -0.164876E+03   0.794612E+01   0.220280E+02   0.134114E+01   0.144684E+01      0.131844E+02     0.000000E+00    0.100100E+04
   5  drift  0.139500E+01   0.100000E+02  -0.131242E-04   0.197619E+01   0.746604E+00   0.531608E+01   0.199473E+01   0.377710E+01   0.103445E+02   0.498828E-02      0.266276E+00        0.473283E+00        0.645680E+00        0.261136E+00        0.397498E+00        0.485939E+00        0.108068E+02        0.179642E+02        0.223158E+02     0.446760E-04   0.200541E-02   0.508911E-04  -0.197869E-02   0.146922E+00   0.234072E+00  -0.171718E+03   0.861931E+01   0.213029E+02   0.125447E+01   0.146673E+01      0.134417E+02     0.000000E+00    0.100100E+04
   6  quad   0.184500E+01   0.100000E+02  -0.131242E-04   0.255026E+01   0.464225E+00   0.683726E+01   0.122555E+01   0.464318E+01   0.126866E+02   0.498828E-02      0.371298E+00        0.131322E+01        0.378450E+01        0.259068E+00        0.397547E+00        0.474399E+00        0.108823E+02        0.181364E+02        0.228995E+02     0.682854E-04  -0.124183E-02  -0.113805E-04  -0.860494E-03   0.146922E+00   0.345797E+00   0.626060E+02   0.102943E+02   0.682760E+00   0.488868E+00   0.192258E+01      0.201717E+02     0.000000E+00    0.100100E+04
   7  drift  0.189500E+01   0.100000E+02  -0.131242E-04   0.247272E+01   0.461008E+00   0.662218E+01   0.121416E+01   0.474223E+01   0.129561E+02   0.498828E-02      0.371298E+00        0.131322E+01        0.378450E+01        0.259068E+00        0.397547E+00        0.474399E+00        0.108874E+02        0.181362E+02        0.229281E+02     0.620763E-04  -0.124183E-02  -0.156830E-04  -0.860494E-03   0.146922E+00   0.351668E+00   0.607018E+02   0.967773E+01   0.667765E+00   0.482115E+00   0.197338E+01      0.210317E+02     0.000000E+00    0.100100E+04
   8  prmtr  0.189500E+01   0.100000E+02  -0.131242E-04   0.247272E+01   0.461008E+00   0.662218E+01   0.121416E+01   0.474223E+01   0.129561E+02   0.498828E-02      0.371298E+00        0.131322E+01        0.378450E+01        0.259068E+00        0.397547E+00        0.474399E+00        0.108874E+02        0.181362E+02        0.229281E+02     0.620763E-04  -0.124183E-02  -0.156830E-04  -0.860494E-03   0.146922E+00   0.351668E+00   0.607018E+02   0.967773E+01   0.667765E+00   0.482115E+00   0.197338E+01      0.210317E+02     0.000000E+00    0.100100E+04
   9  drift  0.198350E+01   0.100000E+02  -0.131242E-04   0.233546E+01   0.455435E+00   0.624148E+01   0.119401E+01   0.491880E+01   0.134938E+02   0.498828E-02      0.371298E+00        0.131322E+01        0.378450E+01        0.259068E+00        0.397547E+00        0.474399E+00        0.108966E+02        0.181989E+02        0.229784E+02     0.510861E-04  -0.124183E-02  -0.232983E-04  -0.860494E-03   0.146922E+00   0.362060E+00   0.573313E+02   0.863314E+01   0.641223E+00   0.470531E+00   0.206315E+01      0.226079E+02     0.000000E+00    0.100100E+04
