 Nseed      iq         dt[nsec]         dW[MeV/u]           x[cm]           x'[mrad]            y[cm]           y'[mrad]  
      0      1      -0.17081E-04       0.45928E-05       0.14702E-04       0.13815E-03       0.00000E+00       0.00000E+00
      0      1      -0.95673E-01       0.39509E-02       0.40876E-01      -0.63039E+01      -0.45682E-01      -0.15370E+02
      0      1      -0.26827E+00       0.30260E-01       0.33956E-01       0.29310E+01      -0.35248E-01      -0.22068E+02
      0      1       0.12129E+00      -0.73753E-02       0.51601E-01      -0.24682E+00       0.50457E-01      -0.10703E+01
      0      1       0.80644E+00      -0.97069E-01      -0.81970E-01      -0.88860E+01      -0.53124E-01      -0.81248E+01
      0      1      -0.10970E+00       0.10117E-01       0.11777E-01      -0.11434E+01       0.93850E-01       0.90253E+01
      0      1       0.22583E+00      -0.28229E-01      -0.63477E-01      -0.99717E+01       0.43688E-01       0.44671E+01
      0      1      -0.91892E-01       0.37946E-02       0.36060E-01       0.39378E+01       0.13662E-01       0.15724E+02
      0      1       0.18859E+00      -0.25733E-01      -0.70854E-01      -0.79585E+01       0.72104E-01       0.10440E+02
      0      1       0.31614E+00      -0.26885E-01      -0.10133E+00      -0.11284E+02      -0.52996E-01      -0.72987E+01
      0      1       0.79922E+00      -0.94774E-01       0.45531E+00       0.21236E+02      -0.27504E-01      -0.12876E+01
      0      1      -0.19605E+00       0.31628E-01       0.83036E-01       0.36326E+01      -0.68723E-02       0.85207E+01
      0      1       0.57424E+00      -0.80723E-01      -0.84402E-01      -0.85734E+01      -0.35627E-01      -0.79825E+01
      0      1      -0.82521E+00       0.10621E+00       0.33207E-02       0.20253E+01      -0.43392E-01       0.12457E+02
      0      1      -0.34266E+00       0.49586E-01       0.23232E-01       0.24329E+01      -0.85208E-01      -0.61898E+01
      0      1      -0.57870E-01       0.22912E-01       0.66639E-01       0.28256E+01      -0.67721E-01       0.42489E+01
      0      1      -0.64543E+00       0.90739E-01      -0.79377E-01       0.59536E+01      -0.49688E-01       0.12945E+02
      0      1      -0.77737E+00       0.96720E-01       0.11167E+00      -0.74475E+01      -0.58564E-01       0.51741E+01
      0      1       0.10362E+00      -0.11489E-01       0.11179E-01       0.49273E+01       0.85295E-01       0.11257E+02
      0      1      -0.57733E+00       0.82482E-01       0.30339E-01      -0.66092E+01      -0.27455E-01       0.17162E+02
      0      1      -0.51812E+00       0.74066E-01      -0.79625E-01       0.27536E+01       0.18879E-01      -0.17457E+01
      0      1      -0.80669E+00       0.11003E+00       0.18535E-01       0.20379E+01      -0.33571E-01      -0.32830E+01
      0      1       0.84943E+00      -0.11146E+00       0.18092E-01       0.26981E+01      -0.32320E-01      -0.34076E+01
      0      1       0.20969E-01      -0.40234E-02      -0.49188E-01      -0.13486E+01      -0.91227E-01      -0.46471E+01
      0      1      -0.39047E+00       0.51257E-01       0.95981E-01      -0.90137E+01       0.68911E-01       0.63005E+01
      0      1       0.60329E+00      -0.74131E-01       0.96610E-01       0.50504E+01       0.81335E-01       0.63255E+01
      0      1      -0.55068E+00       0.75865E-01       0.64334E-01      -0.34771E+01       0.47215E-01       0.87817E+01
      0      1       0.29251E+00      -0.21069E-01      -0.48186E+00      -0.24091E+02       0.81825E-01       0.38870E+01
      0      1       0.71821E+00      -0.96571E-01       0.11511E-01       0.16170E+01       0.56598E-01      -0.49806E+01
      0      1       0.43856E+00      -0.46672E-01       0.52095E-02      -0.24814E+01       0.12767E-01       0.33622E+01
      0      1      -0.84806E-01       0.24456E-01       0.88192E-01       0.26933E+01      -0.42648E-01      -0.81494E+01
      0      1       0.13819E+00      -0.92602E-02       0.27004E-01       0.98763E+01      -0.48288E-01      -0.16648E+01
      0      1       0.57721E-01       0.98914E-03      -0.55781E-01      -0.11692E+02      -0.75056E-01       0.13038E+02
      0      1      -0.16442E+00       0.26402E-01      -0.77855E-01      -0.56162E+01       0.26439E-01       0.11973E+01
      0      1      -0.27988E-01       0.66551E-02       0.52741E-01       0.13918E+02      -0.13093E-01      -0.69925E+01
      0      1       0.60617E+00      -0.75247E-01      -0.36977E-01      -0.62705E+01      -0.47031E-01       0.48618E+01
      0      1      -0.65209E+00       0.92512E-01       0.38559E-01       0.27586E+01      -0.34609E-01      -0.96775E+01
      0      1       0.36639E-01       0.28852E-02      -0.59455E-01       0.33072E+01       0.83562E-01       0.49890E+01
