 n_el    name     Phi_in(deg)    Phi_out(deg)   W_in(MeV/u)    W_out(MeV/u)
    1    prmtr    0.00000E+00    0.00000E+00    0.10000E+05    0.10000E+05
    2    updt2    0.00000E+00    0.00000E+00    0.10000E+05    0.10000E+05
    3    drift    0.00000E+00    0.83387E+03    0.10000E+05    0.10000E+05
    4    quad     0.00000E+00    0.40567E+03    0.10000E+05    0.10000E+05
    5    drift    0.00000E+00    0.18030E+02    0.10000E+05    0.10000E+05
    6    quad     0.00000E+00    0.40567E+03    0.10000E+05    0.10000E+05
    7    drift    0.00000E+00    0.45074E+02    0.10000E+05    0.10000E+05
    8    prmtr    0.00000E+00    0.00000E+00    0.10000E+05    0.10000E+05
    9    drift    0.00000E+00    0.79781E+02    0.10000E+05    0.10000E+05
   10    bmag     0.00000E+00    0.39581E+03    0.10000E+05    0.10000E+05
   11    drift    0.00000E+00    0.99659E+02    0.10000E+05    0.10000E+05
   12    drift    0.00000E+00    0.99659E+02    0.10000E+05    0.10000E+05
   13    bmag     0.00000E+00    0.39581E+03    0.10000E+05    0.10000E+05
   14    drift    0.00000E+00    0.79781E+02    0.10000E+05    0.10000E+05
   15    drift    0.00000E+00    0.18030E+03    0.10000E+05    0.10000E+05
   16    drift    0.00000E+00    0.18030E+03    0.10000E+05    0.10000E+05
   17    drift    0.00000E+00    0.79781E+02    0.10000E+05    0.10000E+05
   18    bmag     0.00000E+00    0.39581E+03    0.10000E+05    0.10000E+05
   19    drift    0.00000E+00    0.99659E+02    0.10000E+05    0.10000E+05
   20    drift    0.00000E+00    0.99659E+02    0.10000E+05    0.10000E+05
   21    bmag     0.00000E+00    0.39581E+03    0.10000E+05    0.10000E+05
   22    drift    0.00000E+00    0.79781E+02    0.10000E+05    0.10000E+05
   23    drift    0.00000E+00    0.45074E+02    0.10000E+05    0.10000E+05
   24    quad     0.00000E+00    0.40567E+03    0.10000E+05    0.10000E+05
   25    drift    0.00000E+00    0.18030E+02    0.10000E+05    0.10000E+05
   26    quad     0.00000E+00    0.40567E+03    0.10000E+05    0.10000E+05
   27    drift    0.00000E+00    0.83387E+03    0.10000E+05    0.10000E+05
   28    mtrx2    0.00000E+00    0.00000E+00    0.10000E+05    0.10000E+05
