 Nseed      iq         dt[nsec]         dW[MeV/u]           x[cm]           x'[mrad]            y[cm]           y'[mrad]  
      0      1       0.10363E-13       0.00000E+00      -0.52870E-06      -0.13542E-05       0.00000E+00       0.00000E+00
      0      1      -0.34759E+00       0.12023E-01      -0.16990E+00      -0.82068E+00      -0.25888E+00       0.24101E+01
      0      1      -0.50739E+00       0.35591E-01       0.40604E-01      -0.45716E+00      -0.39347E+00       0.28721E+01
      0      1       0.29235E+00      -0.13033E-01      -0.10174E+00      -0.24670E+01      -0.50421E-01      -0.12067E+01
      0      1       0.11016E+01      -0.99879E-01      -0.19009E+00      -0.49792E+00      -0.10696E+00       0.17508E+01
      0      1      -0.22941E+00       0.13491E-01      -0.68566E-01      -0.12434E+01       0.11208E+00      -0.32741E+01
      0      1       0.21914E+00      -0.26446E-01      -0.16205E+00       0.10573E+01       0.53956E-01      -0.14387E+01
      0      1      -0.30406E+00       0.10756E-01       0.53090E-01      -0.66588E+00       0.28252E+00      -0.16977E+01
      0      1       0.15637E+00      -0.22945E-01      -0.10579E+00       0.13812E+01       0.14533E+00      -0.26245E+01
      0      1       0.52936E+00      -0.33530E-01      -0.15919E+00       0.17016E+01      -0.99274E-01       0.18480E+01
      0      1       0.88874E+00      -0.92669E-01       0.27527E+00      -0.18386E+01      -0.35146E-02       0.73475E+00
      0      1      -0.18111E+00       0.28016E-01      -0.83534E-02      -0.20491E+01       0.15985E+00      -0.70122E+00
      0      1       0.57598E+00      -0.74251E-01      -0.15793E+00       0.16921E+00      -0.12037E+00       0.13344E+01
      0      1      -0.11550E+01       0.10852E+00       0.36902E-01      -0.19418E+00       0.25274E+00      -0.51923E+00
      0      1      -0.38622E+00       0.46634E-01       0.32104E-01      -0.44788E+00      -0.71977E-01       0.28594E+01
      0      1       0.16427E+00       0.12572E-01       0.10177E-02      -0.13282E+01       0.11518E+00       0.13034E+01
      0      1      -0.82459E+00       0.88429E-01       0.12664E+00      -0.47744E+00       0.26507E+00      -0.25549E+00
      0      1      -0.11921E+01       0.10248E+00      -0.16235E+00       0.68544E+00       0.12056E+00       0.86708E+00
      0      1       0.12935E+00      -0.11765E-01       0.94375E-01      -0.18189E+00       0.15339E+00      -0.31311E+01
      0      1      -0.74668E+00       0.80310E-01      -0.10875E+00       0.12357E+01       0.33521E+00      -0.11601E+01
      0      1      -0.59985E+00       0.70233E-01       0.11127E+00       0.11760E+01      -0.40792E-01      -0.26544E+00
      0      1      -0.10087E+01       0.10751E+00       0.22666E-01      -0.56521E+00      -0.49838E-01       0.12843E+01
      0      1       0.10785E+01      -0.10982E+00       0.86187E-01       0.80419E+00      -0.35465E-01       0.10232E+01
      0      1      -0.13416E-02      -0.28871E-02      -0.15346E-01       0.93908E-01      -0.29995E-01       0.27828E+01
      0      1      -0.61990E+00       0.53967E-01      -0.21659E+00      -0.10993E+00       0.84906E-01      -0.23591E+01
      0      1       0.84054E+00      -0.76276E-01       0.35578E-01      -0.13426E+01       0.53735E-01      -0.25234E+01
      0      1      -0.69980E+00       0.74206E-01      -0.10742E+00      -0.64765E+00       0.14317E+00      -0.22307E+01
      0      1       0.23219E+00      -0.21505E-01      -0.36985E+00       0.15465E+01       0.23419E-01      -0.22089E+01
      0      1       0.87477E+00      -0.93634E-01       0.64365E-01       0.79638E+00      -0.13507E+00      -0.12213E+01
      0      1       0.73521E+00      -0.53438E-01      -0.94519E-01      -0.11316E+01       0.51556E-01      -0.58536E+00
      0      1       0.92310E-01       0.15608E-01      -0.18875E-01      -0.17153E+01      -0.12460E+00       0.19203E+01
      0      1       0.23259E+00      -0.12864E-01       0.16280E+00      -0.10411E+01      -0.10036E-02       0.13730E+01
      0      1       0.57139E-01      -0.75729E-03      -0.20089E+00       0.11001E+01       0.28755E+00       0.10752E+01
      0      1      -0.16584E+00       0.23773E-01      -0.21144E-01       0.24656E+01       0.76298E-02      -0.79896E+00
      0      1      -0.17413E+00       0.94512E-02       0.24172E+00      -0.10376E+01      -0.12472E+00       0.78937E+00
      0      1       0.80970E+00      -0.76328E-01      -0.14136E+00      -0.44500E+00       0.12388E+00       0.96011E+00
      0      1      -0.76997E+00       0.88333E-01       0.12427E-01      -0.12446E+01      -0.16753E+00       0.20886E+01
      0      1       0.15481E+00      -0.18821E-02       0.13208E+00       0.14817E+01       0.41133E-01      -0.26163E+01
      0      1       0.13135E+01      -0.11427E+00       0.37073E-01       0.64731E+00       0.10564E+00       0.35034E+00
      0      1      -0.21754E+00       0.27959E-01       0.80410E-01       0.29691E+01       0.13070E+00      -0.37495E+00
      0      1      -0.56806E+00       0.35155E-01       0.14409E+00      -0.98508E+00      -0.16338E+00       0.30973E+01
      0      1      -0.15659E+00       0.59621E-02      -0.17208E+00       0.27329E+01      -0.12464E-01       0.11776E+01
      0      1      -0.11563E+00       0.15339E-01      -0.53629E-01      -0.70279E+00      -0.52739E-01       0.87809E+00
      0      1       0.22540E-01      -0.91296E-02      -0.69326E-01      -0.15121E+01      -0.57742E-01       0.14236E+01
      0      1       0.94750E+00      -0.69205E-01       0.17858E-01       0.75007E+00       0.50360E-01      -0.27577E+01
      0      1       0.48382E+00      -0.48548E-01       0.49836E-02       0.18347E+01       0.12693E+00       0.67535E+00
      0      1       0.97199E+00      -0.76350E-01      -0.45517E-01       0.39980E-01       0.19103E+00      -0.24396E+01
      0      1      -0.41628E+00       0.24271E-01       0.34777E+00      -0.18810E+01      -0.28873E-01      -0.13651E+00
      0      1       0.67834E+00      -0.69744E-01       0.19930E+00      -0.16101E+01      -0.14754E+00       0.14304E+01
      0      1      -0.11691E+01       0.11046E+00      -0.10111E+00       0.82492E-01      -0.24303E+00       0.24075E+01
      0      1      -0.10243E+01       0.97522E-01      -0.37536E-01       0.20312E+01       0.24999E-01       0.69363E+00
      0      1       0.18176E+00      -0.55856E-02      -0.27208E+00       0.13958E+01      -0.11785E+00       0.10399E+01
      0      1       0.28668E+00      -0.48324E-01       0.16737E+00       0.68548E+00       0.83259E-01      -0.43515E+00
      0      1      -0.14439E+00       0.32863E-01       0.28182E-01       0.43582E+00      -0.32441E+00       0.14994E+01
      0      1      -0.12622E+01       0.12582E+00       0.12773E+00      -0.72208E-01      -0.72021E-01       0.10017E+01
      0      1       0.32767E+00      -0.14265E-01       0.51292E-01       0.26377E-01      -0.30123E+00      -0.59787E+00
      0      1       0.27293E+00      -0.15236E-01       0.96547E-02       0.16228E+00      -0.13483E+00       0.10698E+01
