 Nseed      iq         dt[nsec]         dW[MeV/u]           x[cm]           x'[mrad]            y[cm]           y'[mrad]  
      0      1       0.10363E-13       0.00000E+00      -0.12289E-05      -0.30398E-05       0.00000E+00       0.00000E+00
      0      1      -0.34805E+00       0.12023E-01      -0.20189E+00      -0.88955E+00      -0.21961E+01      -0.25767E+01
      0      1      -0.50803E+00       0.35591E-01       0.10055E-01      -0.50536E+00      -0.28356E+01      -0.34129E+01
      0      1       0.29223E+00      -0.13033E-01      -0.23585E+00      -0.27020E+01       0.62731E+00       0.54060E+00
      0      1       0.11014E+01      -0.99879E-01      -0.20144E+00      -0.53379E+00      -0.13948E+01      -0.15663E+01
      0      1      -0.23027E+00       0.13491E-01      -0.13470E+00      -0.13611E+01       0.23527E+01       0.24972E+01
      0      1       0.21895E+00      -0.26446E-01      -0.85576E-01       0.11719E+01       0.10497E+01       0.11261E+01
      0      1      -0.30428E+00       0.10756E-01       0.92784E-02      -0.73528E+00       0.18107E+01       0.22346E+01
      0      1       0.15580E+00      -0.22945E-01      -0.15686E-01       0.15237E+01       0.20381E+01       0.22501E+01
      0      1       0.52904E+00      -0.33530E-01      -0.45639E-01       0.18787E+01      -0.14282E+01      -0.15747E+01
      0      1       0.88863E+00      -0.92669E-01       0.14401E+00      -0.20338E+01      -0.47550E+00      -0.48155E+00
      0      1      -0.18116E+00       0.28016E-01      -0.12735E+00      -0.22513E+01       0.86036E+00       0.11007E+01
      0      1       0.57583E+00      -0.74251E-01      -0.13365E+00       0.19596E+00      -0.11636E+01      -0.13517E+01
      0      1      -0.11550E+01       0.10852E+00       0.21936E-01      -0.21653E+00       0.98502E+00       0.13626E+01
      0      1      -0.38687E+00       0.46634E-01       0.28548E-02      -0.49468E+00      -0.19808E+01      -0.20575E+01
      0      1       0.16414E+00       0.12572E-01      -0.76590E-01      -0.14593E+01      -0.51616E+00      -0.32546E+00
      0      1      -0.82458E+00       0.88429E-01       0.86522E-01      -0.53482E+00       0.85397E+00       0.12568E+01
      0      1      -0.11922E+01       0.10248E+00      -0.10650E+00       0.76666E+00      -0.22499E+00      -0.25425E-01
      0      1       0.12855E+00      -0.11765E-01       0.75012E-01      -0.20628E+00       0.23766E+01       0.25946E+01
      0      1      -0.74677E+00       0.80310E-01      -0.25815E-01       0.13674E+01       0.16034E+01       0.21010E+01
      0      1      -0.59985E+00       0.70233E-01       0.16978E+00       0.12850E+01       0.58988E-01      -0.75978E-02
      0      1      -0.10088E+01       0.10751E+00      -0.12806E-01      -0.62372E+00      -0.93086E+00      -0.98449E+00
      0      1       0.10784E+01      -0.10982E+00       0.12465E+00       0.87612E+00      -0.74420E+00      -0.80266E+00
      0      1      -0.19619E-02      -0.28871E-02      -0.84450E-02       0.10421E+00      -0.18306E+01      -0.18562E+01
      0      1      -0.62035E+00       0.53967E-01      -0.20260E+00      -0.10493E+00       0.17002E+01       0.18011E+01
      0      1       0.84001E+00      -0.76276E-01      -0.45281E-01      -0.14750E+01       0.17409E+01       0.18234E+01
      0      1      -0.70020E+00       0.74206E-01      -0.13528E+00      -0.70425E+00       0.17698E+01       0.19575E+01
      0      1       0.23172E+00      -0.21505E-01      -0.24559E+00       0.17235E+01       0.14544E+01       0.14780E+01
      0      1       0.87466E+00      -0.93634E-01       0.10443E+00       0.86913E+00       0.41743E+00       0.20507E+00
      0      1       0.73518E+00      -0.53438E-01      -0.15137E+00      -0.12354E+01       0.50625E+00       0.58540E+00
      0      1       0.92003E-01       0.15608E-01      -0.11723E+00      -0.18832E+01      -0.15345E+01      -0.17101E+01
      0      1       0.23242E+00      -0.12864E-01       0.87060E-01      -0.11546E+01      -0.86759E+00      -0.85993E+00
      0      1       0.57067E-01      -0.75729E-03      -0.11804E+00       0.12224E+01       0.80622E-01       0.53658E+00
      0      1      -0.16593E+00       0.23773E-01       0.12489E+00       0.27108E+01       0.52172E+00       0.52551E+00
      0      1      -0.17421E+00       0.94512E-02       0.15859E+00      -0.11570E+01      -0.82449E+00      -0.10114E+01
      0      1       0.80964E+00      -0.76328E-01      -0.15411E+00      -0.47887E+00      -0.28066E+00      -0.84737E-01
      0      1      -0.77033E+00       0.88333E-01      -0.61953E-01      -0.13701E+01      -0.17429E+01      -0.19669E+01
      0      1       0.15427E+00      -0.18821E-02       0.20608E+00       0.16181E+01       0.17549E+01       0.17989E+01
      0      1       0.13135E+01      -0.11427E+00       0.70961E-01       0.70721E+00       0.57251E-01       0.22366E+00
      0      1      -0.21756E+00       0.27959E-01       0.24641E+00       0.32571E+01       0.57893E+00       0.77752E+00
      0      1      -0.56885E+00       0.35155E-01       0.72947E-01      -0.10930E+01      -0.23723E+01      -0.25911E+01
      0      1      -0.15677E+00       0.59621E-02       0.33598E-02       0.30142E+01      -0.77340E+00      -0.78286E+00
      0      1      -0.11570E+00       0.15339E-01      -0.89635E-01      -0.76833E+00      -0.69049E+00      -0.76420E+00
      0      1       0.22373E-01      -0.91296E-02      -0.15091E+00      -0.16558E+01      -0.10486E+01      -0.11286E+01
      0      1       0.94689E+00      -0.69205E-01       0.59599E-01       0.82166E+00       0.18793E+01       0.19544E+01
      0      1       0.48378E+00      -0.48548E-01       0.11090E+00       0.20132E+01      -0.91662E-01       0.10968E+00
      0      1       0.97152E+00      -0.76350E-01      -0.39031E-01       0.46825E-01       0.20509E+01       0.23498E+01
