 Nseed      iq         dt[nsec]         dW[MeV/u]           x[cm]           x'[mrad]            y[cm]           y'[mrad]  
      0      1      -0.35234E-12       0.00000E+00      -0.50206E-05      -0.12605E-04       0.00000E+00       0.00000E+00
      0      1      -0.67879E+00       0.54920E-01       0.25434E+00       0.83858E+00       0.49492E-02      -0.84066E-01
      0      1      -0.13559E+01       0.78556E-01      -0.26560E+00      -0.72289E+00      -0.19633E+00      -0.50889E+00
      0      1       0.54293E-01      -0.12298E-01       0.12964E+00       0.34766E+00       0.46837E+00       0.95365E+00
      0      1       0.90967E+00      -0.61950E-01      -0.19020E+00      -0.66453E+00      -0.46513E+00      -0.92183E+00
      0      1      -0.18563E+01       0.10972E+00      -0.76706E-01      -0.25193E+00      -0.12376E+00      -0.28762E+00
      0      1       0.17644E+01      -0.95425E-01       0.13376E+00       0.42871E+00      -0.16975E+00      -0.40156E+00
      0      1      -0.16377E+01       0.93897E-01      -0.46721E+00      -0.14460E+01       0.29339E+00       0.69125E+00
      0      1      -0.12787E+00       0.40433E-02      -0.20084E+00      -0.74192E+00       0.20387E+00       0.36009E+00
      0      1       0.28580E+00      -0.11734E-01      -0.10345E+00      -0.26657E+00       0.11775E+00       0.13599E+00
      0      1      -0.13163E+01       0.85014E-01      -0.26396E+00      -0.10590E+01      -0.29581E-01      -0.11024E+00
      0      1      -0.55517E+00       0.40733E-01       0.43508E+00       0.18075E+01       0.20870E+00       0.43163E+00
