n_el  name      Q     A   Loss   Xfirst,cm   Yfirst,cm   Zfirst,cm    VXfirst     VYfirst     VZfirst     Xdev,cm     Ydev,cm     Zdev,cm     VXdev       VYdev       VZdev       Xc ,cm       Yc ,cm     Zc ,cm       O(11)       O(12)       O(13)       O(21)       O(22)       O(23)       O(31)       O(32)       O(33)   
   7  drift  10.0  22.0    -2      -0.082      -2.935     549.537   0.0005133  -0.0014439   0.1212374      -0.082      -2.935      57.690   0.0005133  -0.0014439   0.1212374       0.000       0.000     491.848   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
   7  drift  10.0  22.0    -2       0.004       2.990     566.020   0.0000700   0.0014015   0.1215131       0.004       2.990      74.172   0.0000700   0.0014015   0.1215131       0.000       0.000     491.848   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
   7  drift  10.0  22.0    -2      -0.004      -2.924     566.020  -0.0004103  -0.0013634   0.1216696      -0.004      -2.924      74.172  -0.0004103  -0.0013634   0.1216696       0.000       0.000     491.848   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
   7  drift  10.0  22.0    -2       0.045       2.936     566.020  -0.0001344   0.0013598   0.1213660       0.045       2.936      74.172  -0.0001344   0.0013598   0.1213660       0.000       0.000     491.848   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
   7  drift  10.0  22.0    -2      -0.021       2.931     574.261  -0.0000904   0.0013405   0.1214999      -0.021       2.931      82.414  -0.0000904   0.0013405   0.1214999       0.000       0.000     491.848   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
   7  drift  10.0  22.0    -2       0.036      -2.995     574.261  -0.0002203  -0.0013291   0.1214380       0.036      -2.995      82.414  -0.0002203  -0.0013291   0.1214380       0.000       0.000     491.848   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
   7  drift  10.0  22.0    -2      -0.010      -2.936     582.503  -0.0001827  -0.0013091   0.1215312      -0.010      -2.936      90.655  -0.0001827  -0.0013091   0.1215312       0.000       0.000     491.848   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
   7  drift  10.0  22.0    -2       0.024      -2.979     582.503   0.0001446  -0.0012856   0.1209418       0.024      -2.979      90.655   0.0001446  -0.0012856   0.1209418       0.000       0.000     491.848   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
   7  drift  10.0  22.0    -2       0.015      -2.941     582.503  -0.0002108  -0.0013021   0.1213108       0.015      -2.941      90.655  -0.0002108  -0.0013021   0.1213108       0.000       0.000     491.848   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
   7  drift  10.0  22.0    -2       0.090       2.953     582.503   0.0005442   0.0012985   0.1212354       0.090       2.953      90.655   0.0005442   0.0012985   0.1212354       0.000       0.000     491.848   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
   7  drift  10.0  22.0    -2       0.038       2.995     582.503   0.0001931   0.0013049   0.1214937       0.038       2.995      90.655   0.0001931   0.0013049   0.1214937       0.000       0.000     491.848   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
