 Nseed      iq         dt[nsec]         dW[MeV/u]           x[cm]           x'[mrad]            y[cm]           y'[mrad]  
      0      1       0.99485E-12       0.00000E+00       0.17141E-05      -0.52108E-04       0.00000E+00       0.00000E+00
      0      1      -0.13843E+02       0.12881E-02      -0.58213E-01      -0.10569E+01      -0.87462E+00      -0.46143E+01
      0      1       0.31109E+02       0.46037E-02      -0.84662E-02      -0.54883E+01      -0.68223E+00      -0.40677E+01
      0      1      -0.15829E+02      -0.35915E-02       0.27645E+00      -0.37311E+00      -0.34569E+00      -0.50228E+01
      0      1      -0.71816E+01      -0.11583E-02       0.14816E+00       0.57911E+01      -0.16061E+00      -0.29843E+01
      0      1       0.17695E+02       0.36464E-02       0.12661E+00      -0.39761E+01      -0.44655E+00      -0.52491E+00
      0      1      -0.19977E+02       0.18108E-03      -0.84856E-01      -0.13998E+01       0.85182E+00       0.55351E+01
      0      1      -0.54158E+01       0.50125E-02      -0.69491E-01      -0.12108E+00       0.59446E+00       0.31717E+01
      0      1      -0.98754E+01      -0.10540E-02       0.18096E+00       0.32336E+01      -0.96520E-01      -0.36748E+01
      0      1       0.16713E+02      -0.11021E-02       0.22606E+00       0.51599E+01       0.13559E+00       0.30421E+01
      0      1       0.11509E+02       0.13454E-02      -0.24949E+00       0.23663E+01       0.57771E+00       0.42081E+01
      0      1      -0.11257E+02      -0.54383E-02      -0.10291E+00      -0.40201E+00       0.27236E+00       0.17025E+01
      0      1       0.14586E+02       0.31208E-02       0.13867E+00      -0.54758E+01      -0.25639E+00      -0.26008E+01
      0      1      -0.32426E+02      -0.63896E-03      -0.30572E+00      -0.30738E+01       0.23365E+00       0.37049E+01
      0      1       0.26811E+02      -0.48963E-02      -0.37877E+00      -0.30081E+01      -0.95978E-01       0.15916E+01
      0      1      -0.28318E+02       0.91559E-03       0.26569E+00       0.19335E+01       0.53845E+00       0.15436E+01
      0      1       0.12945E+02       0.46257E-02      -0.70383E-01      -0.16520E+00       0.28860E+00       0.38614E+01
      0      1       0.27839E+02       0.31601E-02       0.24053E+00      -0.40767E+01       0.27552E+00       0.37715E+00
      0      1      -0.34060E+02       0.10214E-02      -0.29678E+00      -0.23069E+01      -0.20193E-01       0.29115E+01
      0      1       0.22441E+02      -0.32644E-02      -0.21520E+00      -0.58680E+01      -0.87239E+00      -0.68246E+01
      0      1      -0.11582E+02      -0.46388E-02       0.86596E-01      -0.39465E+01       0.14913E+00       0.22618E+01
      0      1       0.18026E+02       0.39478E-02      -0.31190E+00      -0.57115E+01      -0.40150E+00      -0.49300E+01
