n_el  name      Q     A   Loss   Xfirst,cm   Yfirst,cm   Zfirst,cm    VXfirst     VYfirst     VZfirst     Xdev,cm     Ydev,cm     Zdev,cm     VXdev       VYdev       VZdev       Xc ,cm       Yc ,cm     Zc ,cm       O(11)       O(12)       O(13)       O(21)       O(22)       O(23)       O(31)       O(32)       O(33)   
  11  slit    7.0  14.0    -2      -0.209      -1.337     160.200  -0.0002824   0.0002101   0.1228892      -0.209      -1.337       0.000  -0.0002824   0.0002101   0.1228892       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit    7.0  14.0    -1       1.523      -0.280     160.200   0.0006729   0.0000719   0.1228618       1.523      -0.280       0.000   0.0006729   0.0000719   0.1228618       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit    7.0  14.0    -1      -1.229       0.255     160.200  -0.0001910   0.0000255   0.1228759      -1.229       0.255       0.000  -0.0001910   0.0000255   0.1228759       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit    7.0  14.0    -1       1.306       0.174     160.200   0.0008303  -0.0000977   0.1228637       1.306       0.174       0.000   0.0008303  -0.0000977   0.1228637       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit    7.0  14.0    -2      -0.300      -1.354     160.200   0.0001385  -0.0000153   0.1228331      -0.300      -1.354       0.000   0.0001385  -0.0000153   0.1228331       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit    7.0  14.0    -2      -0.019      -1.210     160.200  -0.0001899   0.0002933   0.1229131      -0.019      -1.210       0.000  -0.0001899   0.0002933   0.1229131       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit    7.0  14.0    -1       1.360       0.830     160.200   0.0007561   0.0000326   0.1228965       1.360       0.830       0.000   0.0007561   0.0000326   0.1228965       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit    7.0  14.0    -1      -1.328      -0.292     160.200  -0.0005767  -0.0003333   0.1228419      -1.328      -0.292       0.000  -0.0005767  -0.0003333   0.1228419       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit    7.0  14.0    -2      -0.350       1.419     160.200  -0.0002376  -0.0002083   0.1229050      -0.350       1.419       0.000  -0.0002376  -0.0002083   0.1229050       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit    7.0  14.0    -2      -0.715       1.329     160.200  -0.0002689   0.0000716   0.1228530      -0.715       1.329       0.000  -0.0002689   0.0000716   0.1228530       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit    7.0  14.0    -2       0.479      -1.397     160.200   0.0001605  -0.0000642   0.1229011       0.479      -1.397       0.000   0.0001605  -0.0000642   0.1229011       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit    7.0  14.0    -2       0.012      -1.235     160.200  -0.0002590  -0.0001590   0.1228373       0.012      -1.235       0.000  -0.0002590  -0.0001590   0.1228373       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit    7.0  14.0    -1       1.292      -0.594     160.200   0.0005171   0.0000988   0.1228677       1.292      -0.594       0.000   0.0005171   0.0000988   0.1228677       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit    7.0  14.0    -2       0.510       1.399     160.200   0.0002610  -0.0002676   0.1228171       0.510       1.399       0.000   0.0002610  -0.0002676   0.1228171       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit    7.0  14.0    -1       1.379       0.078     160.200   0.0008623   0.0000696   0.1229073       1.379       0.078       0.000   0.0008623   0.0000696   0.1229073       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit    7.0  14.0    -1      -1.288       0.152     160.200  -0.0006690   0.0003753   0.1228858      -1.288       0.152       0.000  -0.0006690   0.0003753   0.1228858       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit    7.0  14.0    -1      -1.202      -0.376     160.200  -0.0004862  -0.0003060   0.1228869      -1.202      -0.376       0.000  -0.0004862  -0.0003060   0.1228869       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit    7.0  14.0    -1      -1.249      -0.077     160.200  -0.0005947  -0.0000406   0.1228889      -1.249      -0.077       0.000  -0.0005947  -0.0000406   0.1228889       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit    7.0  14.0    -1       1.347       0.051     160.200   0.0003145  -0.0001089   0.1228869       1.347       0.051       0.000   0.0003145  -0.0001089   0.1228869       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit    7.0  14.0    -1       1.448      -0.435     160.200   0.0007054  -0.0000666   0.1228773       1.448      -0.435       0.000   0.0007054  -0.0000666   0.1228773       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
