n_el  name       dist[m]     Energy[MeV/u] (W-Wtmp)/Wtmp,%   x_rms[cm]      y_rms[cm]      Xmax[cm]       Ymax[cm]     phi_rms[deg]   phi_max[deg]   DW/W[rel.u.]   4*exn_rms[cm*mrad]   exn99.0[cm*mrad]    exn_max[cm*mrad]   4*eyn_rms[cm*mrad]   eyn99.0[cm*mrad]    eyn_max[cm*mrad]   4*ezn_rms[keV/u*ns]  ezn99.0[keV/u*ns]    ezn_max[keV/u*ns]     Xc[cm]       X'c[mrad]        Yc[cm]       Y'c[mrad]        btgm          Zc[deg]          a_x        b_x[cm/mrad]       a_y        b_y[cm/mrad]       a_z        b_z[deg/(%ofD_W/W)]  #of_part_lost  #of_part_left 
   0  entry  0.000000E+00   0.972000E+01  -0.132881E-06   0.152423E+00   0.155518E+00   0.367812E+00   0.372418E+00   0.102766E+03   0.179990E+03   0.586520E-03      0.669230E+00        0.905696E+00        0.998563E+00        0.699982E+00        0.945126E+00        0.104319E+01        0.536833E+03        0.700445E+03        0.825996E+03     0.115807E-06  -0.307628E-05  -0.350245E-07   0.127748E-04   0.144840E+00   0.684029E+00   0.201185E+01   0.201129E-01   0.199143E+01   0.200182E-01  -0.126414E-01      0.175227E+04     0.000000E+00    0.100010E+05
   1  prmtr  0.000000E+00   0.972000E+01  -0.132881E-06   0.152423E+00   0.155518E+00   0.367812E+00   0.372418E+00   0.104272E+03   0.179980E+03   0.586520E-03      0.669230E+00        0.905696E+00        0.998563E+00        0.699982E+00        0.945126E+00        0.104319E+01        0.605253E+02        0.778764E+02        0.918354E+02     0.115807E-06  -0.307628E-05  -0.350245E-07   0.127748E-04   0.144840E+00   0.144866E+00   0.201185E+01   0.201129E-01   0.199143E+01   0.200182E-01  -0.796601E-02      0.177787E+04     0.000000E+00    0.100010E+05
   2  drift  0.552000E+00   0.972000E+01  -0.132880E-06   0.806209E+00   0.819626E+00   0.193591E+01   0.198917E+01   0.104271E+03   0.179987E+03   0.586520E-03      0.669230E+00        0.905696E+00        0.998563E+00        0.699982E+00        0.945126E+00        0.104319E+01        0.605245E+02        0.779042E+02        0.918682E+02    -0.540039E-07  -0.307628E-05   0.670143E-06   0.127748E-04   0.144840E+00   0.113678E+00  -0.118411E+02   0.562689E+00  -0.117017E+02   0.556024E+00  -0.823929E-02      0.177785E+04     0.000000E+00    0.100010E+05
   3  drift  0.602000E+00   0.972000E+01  -0.132880E-06   0.891067E+00   0.905903E+00   0.214058E+01   0.219959E+01   0.104271E+03   0.179997E+03   0.586520E-03      0.669230E+00        0.905696E+00        0.998563E+00        0.699982E+00        0.945126E+00        0.104319E+01        0.605244E+02        0.778994E+02        0.918625E+02    -0.693853E-07  -0.307628E-05   0.734017E-06   0.127748E-04   0.144840E+00   0.911590E-01  -0.130959E+02   0.687375E+00  -0.129420E+02   0.679242E+00  -0.827811E-02      0.177785E+04     0.000000E+00    0.100010E+05
   4  quad   0.852000E+00   0.971998E+01  -0.186383E-03   0.158462E+01   0.772367E+00   0.297943E+01   0.180660E+01   0.104285E+03   0.179982E+03   0.586932E-03      0.554579E+00        0.801549E+00        0.115831E+01        0.758600E+00        0.959414E+00        0.106958E+01        0.605728E+02        0.782590E+02        0.920694E+02     0.103596E-01   0.427712E+00  -0.174194E-02   0.742323E-01   0.144840E+00  -0.472314E+00  -0.108059E+03   0.262321E+01   0.177451E+02   0.455599E+00  -0.121648E-01      0.177691E+04     0.154100E+04    0.846000E+04
   5  drift  0.952000E+00   0.971999E+01  -0.628709E-04   0.166665E+01   0.484127E+00   0.298337E+01   0.110398E+01   0.104140E+03   0.179997E+03   0.586940E-03      0.417629E+00        0.590088E+00        0.833457E+00        0.794365E+00        0.976441E+00        0.106020E+01        0.604912E+02        0.780758E+02        0.908914E+02     0.457535E-02   0.132616E+00   0.132640E-02  -0.807884E-01   0.144840E+00  -0.194288E+01  -0.112291E+03   0.385342E+01   0.108609E+02   0.170941E+00  -0.964076E-02      0.177437E+04     0.187500E+04    0.658500E+04
   6  quad   0.120200E+01   0.971992E+01  -0.853789E-03   0.153223E+01   0.167652E+00   0.270919E+01   0.374889E+00   0.104473E+03   0.179943E+03   0.589010E-03      0.350931E+00        0.514231E+00        0.660116E+00        0.809860E+00        0.981623E+00        0.105324E+01        0.609014E+02        0.778364E+02        0.910367E+02    -0.457195E-02   0.868144E-01   0.113838E-03  -0.655634E-01   0.144840E+00  -0.115091E+01   0.747844E+02   0.387590E+01  -0.277432E+01   0.201075E-01   0.327315E-03      0.177371E+04     0.104600E+04    0.553900E+04
   7  drift  0.130200E+01   0.971992E+01  -0.853789E-03   0.123659E+01   0.407590E+00   0.219171E+01   0.919954E+00   0.104473E+03   0.179955E+03   0.589010E-03      0.350931E+00        0.514231E+00        0.660116E+00        0.809860E+00        0.981623E+00        0.105324E+01        0.609013E+02        0.777611E+02        0.910551E+02    -0.370381E-02   0.868144E-01  -0.541796E-03  -0.655634E-01   0.144840E+00  -0.114795E+01   0.603524E+02   0.252453E+01  -0.709952E+01   0.118846E+00  -0.308088E-03      0.177370E+04     0.000000E+00    0.553900E+04
   8  quad   0.155200E+01   0.971992E+01  -0.853789E-03   0.913466E+00   0.794144E+00   0.164064E+01   0.178534E+01   0.104473E+03   0.179993E+03   0.589010E-03      0.349584E+00        0.505608E+00        0.645732E+00        0.809154E+00        0.981852E+00        0.105917E+01        0.609014E+02        0.778292E+02        0.910283E+02    -0.279163E-02  -0.890567E-02  -0.177188E-02  -0.265094E-01   0.144840E+00  -0.108674E+01  -0.308139E+01   0.138287E+01  -0.254029E+01   0.451560E+00   0.324329E-03      0.177371E+04     0.000000E+00    0.553900E+04
   9  drift  0.160200E+01   0.971992E+01  -0.853789E-03   0.923649E+00   0.816529E+00   0.166489E+01   0.183378E+01   0.104473E+03   0.179996E+03   0.589010E-03      0.349584E+00        0.505608E+00        0.645732E+00        0.809154E+00        0.981852E+00        0.105917E+01        0.609013E+02        0.778671E+02        0.911792E+02    -0.283615E-02  -0.890567E-02  -0.190443E-02  -0.265094E-01   0.144840E+00  -0.108591E+01  -0.311934E+01   0.141388E+01  -0.262282E+01   0.477376E+00  -0.121070E-02      0.177371E+04     0.000000E+00    0.553900E+04
